"","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min_Price","Max_Price","Country"
"1099","Fifty Seconds","Lisbon","Creative",-9.0911606,38.7747556,"1 MICHELIN Star","Very good cooking in its category",189.28,224.77,"Portugal"
"1100","CURA","Lisbon","Modern Cuisine",-9.155379,38.7257479,"1 MICHELIN Star","Very good cooking in its category",100.555,153.79,"Portugal"
"1101","Estany Clar","Cercs","Modern Cuisine",1.85401,42.11699,"1 MICHELIN Star","Very good cooking in its category",91.091,94.64,"Spain"
"1102","La Fonda Xesc","Gombrèn","Modern Cuisine",2.0907118,42.24774,"1 MICHELIN Star","Very good cooking in its category",59.15,118.3,"Spain"
"1103","L'Aliança 1919 d'Anglès","Anglès","Modern Cuisine, Catalan",2.6390996,41.95616,"1 MICHELIN Star","Very good cooking in its category",88.725,130.13,"Spain"
"1104","Solla","San Salvador de Poio","Creative",-8.6686035,42.4334655,"1 MICHELIN Star","Very good cooking in its category",115.934,165.62,"Spain"
"1105","Tresmacarrons","El Masnou","Modern Cuisine",2.3327657,41.4827541,"1 MICHELIN Star","Very good cooking in its category",112.385,147.875,"Spain"
"1106","Andra Mari","Galdakao","Traditional Cuisine, Contemporary",-2.8325069,43.2343555,"1 MICHELIN Star","Very good cooking in its category",53.235,91.091,"Spain"
"1107","El Ermitaño","Benavente","Traditional Cuisine, Modern Cuisine",-5.65799,42.00712,"1 MICHELIN Star","Very good cooking in its category",59.15,94.64,"Spain"
"1108","Retiro da Costiña","Santa Comba","Modern Cuisine",-8.8038837,43.0334653,"1 MICHELIN Star","Very good cooking in its category",88.725,130.13,"Spain"
"1109","Espacio N","Esquedas","Creative, Traditional Cuisine",-0.5474034,42.2117392,"1 MICHELIN Star","Very good cooking in its category",100.555,100.555,"Spain"
"1110","El Corral del Indianu","Arriondas","Creative",-5.1842735,43.3902522,"1 MICHELIN Star","Very good cooking in its category",82.81,117.117,"Spain"
"1111","Mu•na","Ponferrada","Traditional Cuisine, Modern Cuisine",-6.59309,42.5434,"1 MICHELIN Star","Very good cooking in its category",49.686,101.738,"Spain"
"1112","Taller","Quintanilla de Onésimo","Creative, Modern Cuisine",-4.3237821,41.6280676,"1 MICHELIN Star","Very good cooking in its category",100.555,141.96,"Spain"
"1113","El Bohío","Illescas","Modern Cuisine",-3.8462246,40.1267656,"1 MICHELIN Star","Very good cooking in its category",88.725,212.94,"Spain"
"1114","Hospedería El Batán","Tramacastilla","Modern Cuisine, Creative",-1.5602059,40.42797,"1 MICHELIN Star","Very good cooking in its category",87.542,94.64,"Spain"
"1115","Maca de Castro","Port d'Alcúdia","Creative",3.11829,39.8343,"1 MICHELIN Star","Very good cooking in its category",156.156,156.156,"Spain"
"1116","La Salita","Valencia","Creative, Modern Cuisine",-0.3696366,39.4623668,"1 MICHELIN Star","Very good cooking in its category",111.202,147.875,"Spain"
"1117","La Aquarela","Arguineguín","Creative",-15.6930938,27.7744701,"1 MICHELIN Star","Very good cooking in its category",93.457,115.934,"Spain"
"1118","El Xato","la Nucía","Creative, Mediterranean Cuisine",-0.123197,38.6172486,"1 MICHELIN Star","Very good cooking in its category",76.895,100.555,"Spain"
"1119","Quatre Molins","Cornudella de Montsant","Creative",0.904766,41.2645582,"1 MICHELIN Star","Very good cooking in its category",65.065,224.77,"Spain"
"1120","Arrels","Sagunt","Contemporary",-0.2781263,39.6786129,"1 MICHELIN Star","Very good cooking in its category",41.405,76.895,"Spain"
"1121","Etxebarri","Axpe","Traditional Cuisine",-2.5974397,43.1143511,"1 MICHELIN Star","Very good cooking in its category",189.28,286.286,"Spain"
"1122","La Boscana","Bellvís","Creative",0.8093196,41.66112,"1 MICHELIN Star","Very good cooking in its category",94.64,165.62,"Spain"
"1123","Les Moles","Ulldecona","Modern Cuisine, Creative",0.427955,40.602104,"1 MICHELIN Star","Very good cooking in its category",42.588,141.96,"Spain"
"1124","L'Antic Molí","Ulldecona","Modern Cuisine, Traditional Cuisine",0.3378044,40.6096525,"1 MICHELIN Star","Very good cooking in its category",75.712,130.13,"Spain"
"1125","La Bicicleta","Hoznayo","Modern Cuisine",-3.701983,43.390118,"1 MICHELIN Star","Very good cooking in its category",112.385,141.96,"Spain"
"1126","Callizo","Ainsa","Creative, Innovative",0.1381766,42.4176644,"1 MICHELIN Star","Very good cooking in its category",94.64,112.385,"Spain"
"1127","Real Balneario","Salinas","Traditional Cuisine",-5.966378,43.5776638,"1 MICHELIN Star","Very good cooking in its category",70.98,212.94,"Spain"
"1128","Casa Pepa","Ondara","Creative",0.007204,38.818996,"1 MICHELIN Star","Very good cooking in its category",69.797,114.751,"Spain"
"1129","La Cuina de Can Simón","Tossa de Mar","Creative",2.9324298,41.7165634,"1 MICHELIN Star","Very good cooking in its category",88.725,115.934,"Spain"
"1130","L'Ó","Sant Fruitós de Bages","Modern Cuisine",1.9003874,41.7448966,"1 MICHELIN Star","Very good cooking in its category",85.176,112.385,"Spain"
"1131","Alevante","Novo Sancti Petri","Creative",-6.1641536,36.346905,"1 MICHELIN Star","Very good cooking in its category",147.875,171.535,"Spain"
"1132","Lluerna","Santa Coloma de Gramenet","Modern Cuisine",2.2065622,41.4554734,"1 MICHELIN Star","Very good cooking in its category",55.601,104.104,"Spain"
"1133","Deliranto","Salou","Creative, Contemporary",1.1325604,41.0767612,"1 MICHELIN Star","Very good cooking in its category",141.96,177.45,"Spain"
"1134","Marqués de Riscal","Elciego","Modern Cuisine",-2.6176801,42.5115422,"1 MICHELIN Star","Very good cooking in its category",147.875,177.45,"Spain"
"1135","Zaranda","Palma de Mallorca","Creative",2.655429,39.5655872,"1 MICHELIN Star","Very good cooking in its category",136.045,195.195,"Spain"
"1136","Les Magnòlies","Arbúcies","Modern Cuisine",2.5084947,41.8189509,"1 MICHELIN Star","Very good cooking in its category",40.222,108.836,"Spain"
"1137","Venta Moncalvillo","Daroca de Rioja","Modern Cuisine",-2.5805894,42.3715602,"1 MICHELIN Star","Very good cooking in its category",118.3,141.96,"Spain"
"1138","Miguel González","Pereiro de Aguiar","Contemporary",-7.8129997,42.3494457,"1 MICHELIN Star","Very good cooking in its category",76.895,112.385,"Spain"
"1139","Boroa","Amorebieta - Etxano","Traditional Cuisine",-2.7598523,43.2352979,"1 MICHELIN Star","Very good cooking in its category",59.15,153.79,"Spain"
"1140","Atalaya","Alcossebre","Modern Cuisine, Creative",0.2851265,40.2490542,"1 MICHELIN Star","Very good cooking in its category",41.405,76.895,"Spain"
"1141","Ca l'Enric","La Vall de Bianya","Creative",2.4401289,42.2217505,"1 MICHELIN Star","Very good cooking in its category",115.934,141.96,"Spain"
"1142","Elkano","Getaria","Seafood",-2.2049087,43.3030043,"1 MICHELIN Star","Very good cooking in its category",153.79,177.45,"Spain"
"1143","Béns d'Avall","Sóller","Regional Cuisine",2.6665427,39.7766578,"1 MICHELIN Star","Very good cooking in its category",94.64,102.921,"Spain"
"1144","Castell Peralada","Peralada","Modern Cuisine",3.0114904,42.3078839,"1 MICHELIN Star","Very good cooking in its category",136.045,153.79,"Spain"
"1145","El Molino de Alcuneza","Sigüenza","Modern Cuisine",-2.6044708,41.1055995,"1 MICHELIN Star","Very good cooking in its category",80.444,115.934,"Spain"
"1146","El Doncel","Sigüenza","Modern Cuisine",-2.643727,41.0692522,"1 MICHELIN Star","Very good cooking in its category",89.908,139.594,"Spain"
"1147","Chirón","Valdemoro","Modern Cuisine",-3.6764858,40.191578,"1 MICHELIN Star","Very good cooking in its category",69.797,117.117,"Spain"
"1148","Lillas Pastia","Huesca","Modern Cuisine, Market Cuisine",-0.4091598,42.13591,"1 MICHELIN Star","Very good cooking in its category",65.065,88.725,"Spain"
"1149","Tatau","Huesca","Creative, Traditional Cuisine",-0.4085046,42.1385333,"1 MICHELIN Star","Very good cooking in its category",106.47,112.385,"Spain"
"1150","Cal Paradís","Vall d'Alba","Creative",-0.0339761,40.1767144,"1 MICHELIN Star","Very good cooking in its category",59.15,147.875,"Spain"
"1151","Emporium","Castelló d'Empúries","Modern Cuisine",3.0760903,42.2558205,"1 MICHELIN Star","Very good cooking in its category",92.274,128.947,"Spain"
"1152","As Garzas","Barizo","Galician",-8.8719851,43.3213756,"1 MICHELIN Star","Very good cooking in its category",85.176,112.385,"Spain"
"1153","Andreu Genestra","Capdepera","Creative",3.4286962,39.7134139,"1 MICHELIN Star","Very good cooking in its category",106.47,153.79,"Spain"
"1154","Els Casals","Sagàs","Catalan, Contemporary",1.9605884,42.0325482,"1 MICHELIN Star","Very good cooking in its category",75.712,92.274,"Spain"
"1155","La Finca","Elche","Creative",-0.6492128,38.2558416,"1 MICHELIN Star","Very good cooking in its category",86.359,140.777,"Spain"
"1156","Refectorio","Sardón de Duero","Creative",-4.4106521,41.6156187,"1 MICHELIN Star","Very good cooking in its category",159.705,207.025,"Spain"
"1157","Baluarte","Soria","Modern Cuisine",-2.4656422,41.7625609,"1 MICHELIN Star","Very good cooking in its category",70.98,92.274,"Spain"
"1158","Magoga","Cartagena","Regional Cuisine, Contemporary",-0.98376,37.605446,"1 MICHELIN Star","Very good cooking in its category",94.64,112.385,"Spain"
"1159","Zuberoa","Oiartzun","Classic Cuisine",-1.8662787,43.2931162,"1 MICHELIN Star","Very good cooking in its category",147.875,195.195,"Spain"
"1160","Abama Kabuki","Guía de Isora","Japanese",-16.7939375,28.1706934,"1 MICHELIN Star","Very good cooking in its category",159.705,195.195,"Spain"
"1161","Garena","Dima","Contemporary",-2.7659276,43.1295799,"1 MICHELIN Star","Very good cooking in its category",41.405,94.64,"Spain"
"1162","Raúl Resino","Benicarló","Creative",0.4293978,40.4221851,"1 MICHELIN Star","Very good cooking in its category",94.64,141.96,"Spain"
"1163","Ambivium","Peñafiel","Modern Cuisine",-4.0875496,41.5946148,"1 MICHELIN Star","Very good cooking in its category",177.45,177.45,"Spain"
"1164","Malena","Gimenells","Modern Cuisine, Market Cuisine",0.3896166,41.6563324,"1 MICHELIN Star","Very good cooking in its category",76.895,112.385,"Spain"
"1165","El Nuevo Molino","Puente Arce","Modern Cuisine",-3.9481445,43.4060901,"1 MICHELIN Star","Very good cooking in its category",53.235,106.47,"Spain"
"1166","Versátil","Zarza de Granadilla","Contemporary",-6.0476206,40.2372182,"1 MICHELIN Star","Very good cooking in its category",49.686,61.516,"Spain"
"1167","Tula","Xàbia","Mediterranean Cuisine, Modern Cuisine",0.1925837,38.7707289,"1 MICHELIN Star","Very good cooking in its category",82.81,82.81,"Spain"
"1168","Víctor Gutiérrez","Salamanca","Creative, Fusion",-5.6703452,40.9630387,"1 MICHELIN Star","Very good cooking in its category",85.176,130.13,"Spain"
"1169","En la Parra","Salamanca","Modern Cuisine",-5.6642767,40.9606615,"1 MICHELIN Star","Very good cooking in its category",56.784,76.895,"Spain"
"1170","Ment by Óscar Calleja","Salamanca","Creative, Fusion",-5.664287,40.9604246,"1 MICHELIN Star","Very good cooking in its category",82.81,124.215,"Spain"
"1171","Es Tragón","Sant Antoni de Portmany","Creative",1.2867365,38.9967311,"1 MICHELIN Star","Very good cooking in its category",165.62,165.62,"Spain"
"1172","Lera","Castroverde de Campos","Regional Cuisine, Modern Cuisine",-5.3137839,41.967639,"1 MICHELIN Star","Very good cooking in its category",73.346,141.96,"Spain"
"1173","Solana","Ampuero","Modern Cuisine",-3.4531514,43.3263141,"1 MICHELIN Star","Very good cooking in its category",76.895,106.47,"Spain"
"1174","Alameda","Hondarribia","Modern Cuisine",-1.7925817,43.3612194,"1 MICHELIN Star","Very good cooking in its category",99.372,144.326,"Spain"
"1175","Retama","Torrenueva","Modern Cuisine",-3.3219559,38.670718,"1 MICHELIN Star","Very good cooking in its category",70.98,106.47,"Spain"
"1176","El Retiro","Llanes","Modern Cuisine",-4.7621095,43.4123756,"1 MICHELIN Star","Very good cooking in its category",93.457,112.385,"Spain"
"1177","Eneko","Larrabetzu","Creative",-2.8142767,43.26056,"1 MICHELIN Star","Very good cooking in its category",91.091,91.091,"Spain"
"1178","Raíces-Carlos Maldonado","Talavera de la Reina","Creative",-4.8321518,39.9565163,"1 MICHELIN Star","Very good cooking in its category",76.895,100.555,"Spain"
"1179","La Lobita","Navaleno","Creative",-3.0064064,41.8367514,"1 MICHELIN Star","Very good cooking in its category",95.823,95.823,"Spain"
"1180","Audrey's","Calp","Creative, Regional Cuisine",0.072623,38.6501744,"1 MICHELIN Star","Very good cooking in its category",100.555,147.875,"Spain"
"1181","Beat","Calp","Mediterranean Cuisine, French Contemporary",0.060922,38.6474226,"1 MICHELIN Star","Very good cooking in its category",100.555,147.875,"Spain"
"1182","Can Jubany","Calldetenes","Modern Cuisine",2.301967,41.929287,"1 MICHELIN Star","Very good cooking in its category",115.934,171.535,"Spain"
"1183","Villa Retiro","Xerta","Creative, Traditional Cuisine",0.4898701,40.9116908,"1 MICHELIN Star","Very good cooking in its category",70.98,147.875,"Spain"
"1184","José Carlos García","Malaga","Creative, Andalusian",-4.4130483,36.71685,"1 MICHELIN Star","Very good cooking in its category",118.3,165.62,"Spain"
"1185","Trivio","Cuenca","Modern Cuisine",-2.1376977,40.0741657,"1 MICHELIN Star","Very good cooking in its category",59.15,82.81,"Spain"
"1186","Sala","Olost","Traditional Cuisine",2.0959879,41.9859741,"1 MICHELIN Star","Very good cooking in its category",82.81,106.47,"Spain"
"1187","Alejandro Serrano","Miranda de Ebro","Modern Cuisine",-2.9422715,42.6863866,"1 MICHELIN Star","Very good cooking in its category",40.222,85.176,"Spain"
"1188","Massana","Girona","Modern Cuisine",2.81958,41.98505,"1 MICHELIN Star","Very good cooking in its category",118.3,147.875,"Spain"
"1189","Arbidel","Ribadesella","Modern Cuisine",-5.0598138,43.4611136,"1 MICHELIN Star","Very good cooking in its category",70.98,106.47,"Spain"
"1190","Ayalga","Ribadesella","Modern Cuisine",-5.067508,43.4651241,"1 MICHELIN Star","Very good cooking in its category",76.895,100.555,"Spain"
"1191","Nub","Adeje","Creative",-16.7414175,28.0938735,"1 MICHELIN Star","Very good cooking in its category",159.705,183.365,"Spain"
"1192","El Rincón de Juan Carlos","Adeje","Creative",-16.7535126,28.1018325,"1 MICHELIN Star","Very good cooking in its category",153.79,153.79,"Spain"
"1193","Ola Martín Berasategui","Bilbao","Contemporary, Traditional Cuisine",-2.9263988,43.257918,"1 MICHELIN Star","Very good cooking in its category",100.555,147.875,"Spain"
"1194","Zarate","Bilbao","Seafood, Traditional Cuisine",-2.9435024,43.262561,"1 MICHELIN Star","Very good cooking in its category",94.64,124.215,"Spain"
"1195","Mina","Bilbao","Creative, Seasonal Cuisine",-2.9248606,43.2550491,"1 MICHELIN Star","Very good cooking in its category",130.13,165.62,"Spain"
"1196","Zortziko","Bilbao","Contemporary",-2.929366,43.2645266,"1 MICHELIN Star","Very good cooking in its category",88.725,136.045,"Spain"
"1197","Nerua Guggenheim Bilbao","Bilbao","Creative",-2.9330304,43.268822,"1 MICHELIN Star","Very good cooking in its category",82.81,94.64,"Spain"
"1198","Etxanobe Atelier","Bilbao","Creative",-2.9314328,43.2653543,"1 MICHELIN Star","Very good cooking in its category",147.875,177.45,"Spain"
"1199","Los Guayres","Puerto de Mogán","Modern Cuisine, Spanish",-15.7595468,27.8225974,"1 MICHELIN Star","Very good cooking in its category",118.3,141.96,"Spain"
"1200","Peix & Brases","Dénia","Mediterranean Cuisine, Modern Cuisine",0.1078156,38.8461335,"1 MICHELIN Star","Very good cooking in its category",65.065,87.542,"Spain"
"1201","Pepe Vieira","Serpe","Creative",-8.75447,42.40942,"1 MICHELIN Star","Very good cooking in its category",102.921,177.45,"Spain"
"1202","La Botica","Matapozuelos","Modern Cuisine",-4.7914841,41.4143484,"1 MICHELIN Star","Very good cooking in its category",76.895,100.555,"Spain"
"1203","Els Tinars","Llagostera","Traditional Cuisine, Seasonal Cuisine",2.9533814,41.8274496,"1 MICHELIN Star","Very good cooking in its category",61.516,106.47,"Spain"
"1204","Cañabota","Seville","Seafood",-5.9936533,37.3935972,"1 MICHELIN Star","Very good cooking in its category",70.98,106.47,"Spain"
"1205","Abantal","Seville","Creative",-5.9836581,37.3878998,"1 MICHELIN Star","Very good cooking in its category",94.64,118.3,"Spain"
"1206","Casa Gerardo","Prendes","Modern Cuisine",-5.7593121,43.5554834,"1 MICHELIN Star","Very good cooking in its category",59.15,118.3,"Spain"
"1207","Auga e Sal","Santiago de Compostela","Modern Cuisine",-8.5430529,42.8773206,"1 MICHELIN Star","Very good cooking in its category",76.895,100.555,"Spain"
"1208","A Tafona","Santiago de Compostela","Modern Cuisine",-8.5402512,42.880744,"1 MICHELIN Star","Very good cooking in its category",100.555,136.045,"Spain"
"1209","Baeza & Rufete","Alacant","Modern Cuisine",-0.433443,38.368797,"1 MICHELIN Star","Very good cooking in its category",59.15,100.555,"Spain"
"1210","Dama Juana","Jaén","Modern Cuisine, Traditional Cuisine",-3.7854772,37.767224,"1 MICHELIN Star","Very good cooking in its category",76.895,118.3,"Spain"
"1211","Bagá","Jaén","Modern Cuisine",-3.7861942,37.7668005,"1 MICHELIN Star","Very good cooking in its category",100.555,100.555,"Spain"
"1212","La Biblioteca","Pamplona","Creative, Modern Cuisine",-1.6235713,42.8194415,"1 MICHELIN Star","Very good cooking in its category",177.45,177.45,"Spain"
"1213","Europa","Pamplona","Contemporary",-1.6418103,42.8161985,"1 MICHELIN Star","Very good cooking in its category",76.895,106.47,"Spain"
"1214","Rodero","Pamplona","Modern Cuisine",-1.6367286,42.8160025,"1 MICHELIN Star","Very good cooking in its category",88.725,112.385,"Spain"
"1215","Sollo","Fuengirola","Creative, Modern Cuisine",-4.5956774,36.5809892,"1 MICHELIN Star","Very good cooking in its category",153.79,153.79,"Spain"
"1216","La Gaia","Eivissa","Fusion",1.4415572,38.9174239,"1 MICHELIN Star","Very good cooking in its category",118.3,254.345,"Spain"
"1217","Rincón de Diego","Cambrils","Traditional Cuisine",1.0631489,41.0667735,"1 MICHELIN Star","Very good cooking in its category",65.065,132.496,"Spain"
"1218","Can Bosch","Cambrils","Traditional Cuisine",1.0590381,41.0670276,"1 MICHELIN Star","Very good cooking in its category",67.431,158.522,"Spain"
"1219","Fogony","Sort","Modern Cuisine",1.1320159,42.4159399,"1 MICHELIN Star","Very good cooking in its category",53.235,94.64,"Spain"
"1220","Ikaro","Logrono","Creative",-2.4482165,42.4643127,"1 MICHELIN Star","Very good cooking in its category",70.98,88.725,"Spain"
"1221","Kiro Sushi","Logrono","Japanese",-2.4494468,42.4624094,"1 MICHELIN Star","Very good cooking in its category",130.13,130.13,"Spain"
"1222","Árbore da Veira","A Coruña","Creative",-8.433224,43.377457,"1 MICHELIN Star","Very good cooking in its category",65.065,94.64,"Spain"
"1223","Coto de Quevedo","Torre de Juan Abad","Traditional Cuisine",-3.0491664,38.5799538,"1 MICHELIN Star","Very good cooking in its category",23.66,59.15,"Spain"
"1224","Odiseo Gastronómico","Murcia","Modern Cuisine",-1.1432888,38.0244458,"1 MICHELIN Star","Very good cooking in its category",106.47,171.535,"Spain"
"1225","Es Fum","Palmanova","Creative",2.550836,39.5280896,"1 MICHELIN Star","Very good cooking in its category",159.705,177.45,"Spain"
"1226","Marc Fosh","Palma","Modern Cuisine",2.6513729,39.5735982,"1 MICHELIN Star","Very good cooking in its category",54.418,141.96,"Spain"
"1227","DINS Santi Taura","Palma","Modern Cuisine",2.6529955,39.565643,"1 MICHELIN Star","Very good cooking in its category",100.555,153.79,"Spain"
"1228","Adrián Quetglas","Palma","Modern Cuisine",2.6432285,39.5734906,"1 MICHELIN Star","Very good cooking in its category",47.32,76.895,"Spain"
"1229","Trigo","Valladolid","Modern Cuisine",-4.7244307,41.6526058,"1 MICHELIN Star","Very good cooking in its category",65.065,65.065,"Spain"
"1230","La Prensa","Saragossa","Contemporary",-0.8746479,41.633181,"1 MICHELIN Star","Very good cooking in its category",94.64,124.215,"Spain"
"1231","Cancook","Saragossa","Creative",-0.9044313,41.6344366,"1 MICHELIN Star","Very good cooking in its category",76.895,141.96,"Spain"
"1232","Poemas by Hermanos Padrón","Las Palmas de Gran Canaria","Creative",-15.4272769,28.1211968,"1 MICHELIN Star","Very good cooking in its category",130.13,141.96,"Spain"
"1233","Nova","Ourense","Modern Cuisine",-7.8623301,42.33977,"1 MICHELIN Star","Very good cooking in its category",53.235,106.47,"Spain"
"1234","El Invernadero","Madrid","Modern Cuisine",-3.6989277,40.4446541,"1 MICHELIN Star","Very good cooking in its category",112.385,177.45,"Spain"
"1235","Kabuki","Madrid","Japanese",-3.6971974,40.4532499,"1 MICHELIN Star","Very good cooking in its category",106.47,112.385,"Spain"
"1236","La Tasquería","Madrid","Modern Cuisine",-3.6738582,40.42235,"1 MICHELIN Star","Very good cooking in its category",53.235,88.725,"Spain"
"1237","Yugo","Madrid","Japanese",-3.694612,40.410625,"1 MICHELIN Star","Very good cooking in its category",159.705,215.306,"Spain"
"1238","Gaytán","Madrid","Modern Cuisine",-3.6783632,40.4493113,"1 MICHELIN Star","Very good cooking in its category",88.725,177.45,"Spain"
"1239","Clos Madrid","Madrid","Modern Cuisine",-3.6999179,40.4465794,"1 MICHELIN Star","Very good cooking in its category",70.98,112.385,"Spain"
"1240","Quimbaya","Madrid","Colombian",-3.6930752,40.436379,"1 MICHELIN Star","Very good cooking in its category",70.98,76.895,"Spain"
"1241","Corral de la Morería Gastronómico","Madrid","Modern Cuisine",-3.7140918,40.4128471,"1 MICHELIN Star","Very good cooking in its category",69.797,88.725,"Spain"
"1242","A'Barra","Madrid","International",-3.687633,40.438683,"1 MICHELIN Star","Very good cooking in its category",118.3,141.96,"Spain"
"1243","Saddle","Madrid","Contemporary",-3.6911998,40.4274475,"1 MICHELIN Star","Very good cooking in its category",130.13,141.96,"Spain"
"1244","Ricardo Sanz Wellington","Madrid","Japanese",-3.6843864,40.4219171,"1 MICHELIN Star","Very good cooking in its category",130.13,153.79,"Spain"
"1245","Deessa","Madrid","Creative",-3.6928119,40.4158561,"1 MICHELIN Star","Very good cooking in its category",230.685,230.685,"Spain"
"1246","Cebo","Madrid","Creative",-3.6987651,40.416502,"1 MICHELIN Star","Very good cooking in its category",136.045,159.705,"Spain"
"1247","Gofio","Madrid","Regional Cuisine",-3.6982452,40.4138512,"1 MICHELIN Star","Very good cooking in its category",76.895,147.875,"Spain"
"1248","Lúa","Madrid","Modern Cuisine",-3.6957039,40.4328535,"1 MICHELIN Star","Very good cooking in its category",82.81,92.274,"Spain"
"1249","Riff","Valencia","Creative, Modern Cuisine",-0.3684603,39.4657836,"1 MICHELIN Star","Very good cooking in its category",53.235,130.13,"Spain"
"1250","Lienzo","Valencia","Mediterranean Cuisine",-0.3697428,39.4750292,"1 MICHELIN Star","Very good cooking in its category",65.065,112.385,"Spain"
"1251","Kaido Sushi Bar","Valencia","Japanese",-0.3575637,39.470454,"1 MICHELIN Star","Very good cooking in its category",88.725,88.725,"Spain"
"1252","Fierro","Valencia","Modern Cuisine",-0.3726653,39.4625709,"1 MICHELIN Star","Very good cooking in its category",112.385,112.385,"Spain"
"1253","Yayo Daporta","Cambados","Creative",-8.8148041,42.5128612,"1 MICHELIN Star","Very good cooking in its category",88.725,118.3,"Spain"
"1254","Nublo","Haro","Modern Cuisine",-2.8465048,42.5777859,"1 MICHELIN Star","Very good cooking in its category",57.967,93.457,"Spain"
"1255","Auga","Gijón","Traditional Cuisine",-5.6665859,43.5465083,"1 MICHELIN Star","Very good cooking in its category",88.725,106.47,"Spain"
"1256","Casona del Judío","Santander","Modern Cuisine",-3.8292585,43.4686232,"1 MICHELIN Star","Very good cooking in its category",82.81,97.006,"Spain"
"1257","El Serbal","Santander","Modern Cuisine",-3.7881718,43.4776869,"1 MICHELIN Star","Very good cooking in its category",63.882,92.274,"Spain"
"1258","Choco","Córdoba","Creative, Andalusian",-4.7623009,37.8850096,"1 MICHELIN Star","Very good cooking in its category",112.385,147.875,"Spain"
"1259","Cocinandos","Leon","Modern Cuisine",-5.5810161,42.6019852,"1 MICHELIN Star","Very good cooking in its category",74.529,74.529,"Spain"
"1260","Pablo","Leon","Modern Cuisine",-5.5665652,42.6004864,"1 MICHELIN Star","Very good cooking in its category",80.444,80.444,"Spain"
"1261","Maruja Limón","Vigo","Creative",-8.7238918,42.2404552,"1 MICHELIN Star","Very good cooking in its category",92.274,115.934,"Spain"
"1262","Silabario","Vigo","Modern Cuisine",-8.7220674,42.2365448,"1 MICHELIN Star","Very good cooking in its category",29.575,104.104,"Spain"
"1263","Mirador de Ulía","Donostia / San Sebastián","Creative",-1.965735,43.3280079,"1 MICHELIN Star","Very good cooking in its category",106.47,141.96,"Spain"
"1264","eMe Be Garrote","Donostia / San Sebastián","Contemporary",-2.0099694,43.3011123,"1 MICHELIN Star","Very good cooking in its category",106.47,177.45,"Spain"
"1265","Kokotxa","Donostia / San Sebastián","Modern Cuisine",-1.9870824,43.3236003,"1 MICHELIN Star","Very good cooking in its category",104.104,147.875,"Spain"
"1266","Messina","Marbella","Creative",-4.8806499,36.5084597,"1 MICHELIN Star","Very good cooking in its category",82.81,110.019,"Spain"
"1267","Nintai","Marbella","Japanese",-4.8997997,36.5097674,"1 MICHELIN Star","Very good cooking in its category",112.385,153.79,"Spain"
"1268","El Lago","Marbella","Contemporary",-4.7797405,36.5062792,"1 MICHELIN Star","Very good cooking in its category",94.64,106.47,"Spain"
"1269","Mantúa","Jerez de la Frontera","Modern Cuisine",-6.1359243,36.6874746,"1 MICHELIN Star","Very good cooking in its category",100.555,124.215,"Spain"
"1270","LÚ Cocina y Alma","Jerez de la Frontera","Modern Cuisine",-6.1357554,36.6876345,"1 MICHELIN Star","Very good cooking in its category",112.385,183.365,"Spain"
"1271","Oria","Barcelona","Modern Cuisine",2.1624525,41.3938241,"1 MICHELIN Star","Very good cooking in its category",59.15,136.045,"Spain"
"1272","Alkimia","Barcelona","Modern Cuisine",2.1635878,41.3826841,"1 MICHELIN Star","Very good cooking in its category",198.744,198.744,"Spain"
"1273","Koy Shunka","Barcelona","Japanese",2.1754154,41.3857791,"1 MICHELIN Star","Very good cooking in its category",115.934,173.901,"Spain"
"1274","Aürt","Barcelona","Modern Cuisine",2.217281,41.4089295,"1 MICHELIN Star","Very good cooking in its category",130.13,130.13,"Spain"
"1275","Caelis","Barcelona","Creative",2.1743763,41.387015,"1 MICHELIN Star","Very good cooking in its category",53.235,159.705,"Spain"
"1276","Via Veneto","Barcelona","Classic Cuisine",2.1389712,41.3924046,"1 MICHELIN Star","Very good cooking in its category",130.13,177.45,"Spain"
"1277","Hisop","Barcelona","Creative",2.1480369,41.3944279,"1 MICHELIN Star","Very good cooking in its category",85.176,88.725,"Spain"
"1278","Xerta","Barcelona","Creative",2.1564642,41.3944177,"1 MICHELIN Star","Very good cooking in its category",49.686,159.705,"Spain"
"1279","Dos Palillos","Barcelona","Fusion",2.1686733,41.3833692,"1 MICHELIN Star","Very good cooking in its category",118.3,141.96,"Spain"
"1280","Atempo","Barcelona","Modern Cuisine",2.1522177,41.3910001,"1 MICHELIN Star","Very good cooking in its category",141.96,141.96,"Spain"
"1281","Hofmann","Barcelona","Modern Cuisine",2.1530609,41.3971709,"1 MICHELIN Star","Very good cooking in its category",57.967,112.385,"Spain"
"1282","L'orgueil","Tokyo","French",139.7201594,35.6660668,"1 MICHELIN Star","Very good cooking in its category",127.5,127.5,"Japan"
"1283","LUGDUNUM Bouchon Lyonnais","Tokyo","French",139.740121,35.701746,"1 MICHELIN Star","Very good cooking in its category",29.75,110.5,"Japan"
"1284","Tenoshima","Tokyo","Japanese",139.725138,35.671024,"1 MICHELIN Star","Very good cooking in its category",144.5,144.5,"Japan"
"1285","La Clairière","Tokyo","French",139.728149,35.645161,"1 MICHELIN Star","Very good cooking in its category",76.5,238,"Japan"
